mouse_ensembl_id,pos_id,mouse_gene_symbol,description,gene_biotype,chromosome_name,start_position,end_position,human_ensembl_id,human_gene_symbol
ENSMUSG00000000126,11:35809358-63627072,Wnt9a,"wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]",protein_coding,11,59197754,59224378,ENSG00000143816,WNT9A
ENSMUSG00000000738,8:114537131-125008212,Spg7,"SPG7, paraplegin matrix AAA peptidase subunit [Source:MGI Symbol;Acc:MGI:2385906]",protein_coding,8,123789681,123824499,ENSG00000197912,SPG7
ENSMUSG00000000738,8:119627135-129911543,Spg7,"SPG7, paraplegin matrix AAA peptidase subunit [Source:MGI Symbol;Acc:MGI:2385906]",protein_coding,8,123789681,123824499,ENSG00000197912,SPG7
ENSMUSG00000000738,8:119648807-129039065,Spg7,"SPG7, paraplegin matrix AAA peptidase subunit [Source:MGI Symbol;Acc:MGI:2385906]",protein_coding,8,123789681,123824499,ENSG00000197912,SPG7
ENSMUSG00000000738,8:121838387-125008212,Spg7,"SPG7, paraplegin matrix AAA peptidase subunit [Source:MGI Symbol;Acc:MGI:2385906]",protein_coding,8,123789681,123824499,ENSG00000197912,SPG7
ENSMUSG00000000739,8:112691719-127272752,Sult5a1,"sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]",protein_coding,8,123866931,123885054,ENSG00000197165,SULT1A2
ENSMUSG00000000739,8:114537131-125008212,Sult5a1,"sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]",protein_coding,8,123866931,123885054,ENSG00000197165,SULT1A2
ENSMUSG00000000739,8:119627135-129911543,Sult5a1,"sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]",protein_coding,8,123866931,123885054,ENSG00000197165,SULT1A2
ENSMUSG00000000739,8:119648807-129039065,Sult5a1,"sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]",protein_coding,8,123866931,123885054,ENSG00000197165,SULT1A2
ENSMUSG00000000739,8:121838387-125008212,Sult5a1,"sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]",protein_coding,8,123866931,123885054,ENSG00000197165,SULT1A2
ENSMUSG00000000740,8:112691719-127272752,Rpl13,ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922],protein_coding,8,123829089,123831983,ENSG00000167526,RPL13
ENSMUSG00000000740,8:114537131-125008212,Rpl13,ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922],protein_coding,8,123829089,123831983,ENSG00000167526,RPL13
ENSMUSG00000000740,8:119627135-129911543,Rpl13,ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922],protein_coding,8,123829089,123831983,ENSG00000167526,RPL13
ENSMUSG00000000740,8:119648807-129039065,Rpl13,ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922],protein_coding,8,123829089,123831983,ENSG00000167526,RPL13
ENSMUSG00000000740,8:121838387-125008212,Rpl13,ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922],protein_coding,8,123829089,123831983,ENSG00000167526,RPL13
ENSMUSG00000000743,8:112691719-127272752,Chmp1a,charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159],protein_coding,8,123931003,123939502,ENSG00000131165,CHMP1A
ENSMUSG00000000743,8:114537131-125008212,Chmp1a,charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159],protein_coding,8,123931003,123939502,ENSG00000131165,CHMP1A
ENSMUSG00000000743,8:119627135-129911543,Chmp1a,charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159],protein_coding,8,123931003,123939502,ENSG00000131165,CHMP1A
ENSMUSG00000000743,8:119648807-129039065,Chmp1a,charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159],protein_coding,8,123931003,123939502,ENSG00000131165,CHMP1A
ENSMUSG00000000743,8:121838387-125008212,Chmp1a,charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159],protein_coding,8,123931003,123939502,ENSG00000131165,CHMP1A
ENSMUSG00000000782,11:35809358-63627072,Tcf7,"transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]",protein_coding,11,52143198,52174158,ENSG00000081059,TCF7
ENSMUSG00000000782,11:39435941-58117125,Tcf7,"transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]",protein_coding,11,52143198,52174158,ENSG00000081059,TCF7
ENSMUSG00000000869,11:35809358-63627072,Il4,interleukin 4 [Source:MGI Symbol;Acc:MGI:96556],protein_coding,11,53493809,53509496,ENSG00000113520,IL4
ENSMUSG00000000869,11:39435941-58117125,Il4,interleukin 4 [Source:MGI Symbol;Acc:MGI:96556],protein_coding,11,53493809,53509496,ENSG00000113520,IL4
ENSMUSG00000000916,5:124251012-135511572,Nsun5,"NOL1/NOP2/Sun domain family, member 5 [Source:MGI Symbol;Acc:MGI:2140844]",protein_coding,5,135398807,135405659,ENSG00000130305,NSUN5
ENSMUSG00000000916,5:124251012-135570882,Nsun5,"NOL1/NOP2/Sun domain family, member 5 [Source:MGI Symbol;Acc:MGI:2140844]",protein_coding,5,135398807,135405659,ENSG00000130305,NSUN5
ENSMUSG00000001034,11:35809358-63627072,Mapk7,mitogen-activated protein kinase 7 [Source:MGI Symbol;Acc:MGI:1346347],protein_coding,11,61379638,61385232,ENSG00000166484,MAPK7
ENSMUSG00000001036,11:35809358-63627072,Epn2,epsin 2 [Source:MGI Symbol;Acc:MGI:1333766],protein_coding,11,61408075,61470513,ENSG00000072134,EPN2
ENSMUSG00000001039,11:35809358-63627072,B9d1,B9 protein domain 1 [Source:MGI Symbol;Acc:MGI:1351471],protein_coding,11,61395970,61403757,ENSG00000108641,B9D1
ENSMUSG00000001052,3:126967070-149860268,Sec24b,"SEC24 homolog B, COPII coat complex component [Source:MGI Symbol;Acc:MGI:2139764]",protein_coding,3,129776408,129855202,ENSG00000138802,SEC24B
ENSMUSG00000001052,3:127136685-149860268,Sec24b,"SEC24 homolog B, COPII coat complex component [Source:MGI Symbol;Acc:MGI:2139764]",protein_coding,3,129776408,129855202,ENSG00000138802,SEC24B
ENSMUSG00000001053,11:35809358-63627072,N4bp3,NEDD4 binding protein 3 [Source:MGI Symbol;Acc:MGI:2442218],protein_coding,11,51533890,51541669,ENSG00000145911,N4BP3
ENSMUSG00000001053,11:39435941-58117125,N4bp3,NEDD4 binding protein 3 [Source:MGI Symbol;Acc:MGI:2442218],protein_coding,11,51533890,51541669,ENSG00000145911,N4BP3
ENSMUSG00000001054,11:35809358-63627072,Rmnd5b,required for meiotic nuclear division 5 homolog B [Source:MGI Symbol;Acc:MGI:1913339],protein_coding,11,51514498,51526723,ENSG00000145916,RMND5B
ENSMUSG00000001054,11:39435941-58117125,Rmnd5b,required for meiotic nuclear division 5 homolog B [Source:MGI Symbol;Acc:MGI:1913339],protein_coding,11,51514498,51526723,ENSG00000145916,RMND5B
ENSMUSG00000001056,11:35809358-63627072,Nhp2,NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547],protein_coding,11,51510562,51514541,ENSG00000145912,NHP2
ENSMUSG00000001056,11:39435941-58117125,Nhp2,NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547],protein_coding,11,51510562,51514541,ENSG00000145912,NHP2
ENSMUSG00000001062,8:112691719-127272752,Vps9d1,VPS9 domain containing 1 [Source:MGI Symbol;Acc:MGI:1914143],protein_coding,8,123969095,123981087,ENSG00000075399,VPS9D1
ENSMUSG00000001062,8:114537131-125008212,Vps9d1,VPS9 domain containing 1 [Source:MGI Symbol;Acc:MGI:1914143],protein_coding,8,123969095,123981087,ENSG00000075399,VPS9D1
ENSMUSG00000001062,8:119627135-129911543,Vps9d1,VPS9 domain containing 1 [Source:MGI Symbol;Acc:MGI:1914143],protein_coding,8,123969095,123981087,ENSG00000075399,VPS9D1
ENSMUSG00000001062,8:119648807-129039065,Vps9d1,VPS9 domain containing 1 [Source:MGI Symbol;Acc:MGI:1914143],protein_coding,8,123969095,123981087,ENSG00000075399,VPS9D1
ENSMUSG00000001062,8:121838387-125008212,Vps9d1,VPS9 domain containing 1 [Source:MGI Symbol;Acc:MGI:1914143],protein_coding,8,123969095,123981087,ENSG00000075399,VPS9D1
ENSMUSG00000001065,8:112691719-127272752,Zfp276,zinc finger protein (C2H2 type) 276 [Source:MGI Symbol;Acc:MGI:1888495],protein_coding,8,123980934,123996484,ENSG00000158805,ZNF276
ENSMUSG00000001065,8:114537131-125008212,Zfp276,zinc finger protein (C2H2 type) 276 [Source:MGI Symbol;Acc:MGI:1888495],protein_coding,8,123980934,123996484,ENSG00000158805,ZNF276
ENSMUSG00000001065,8:119627135-129911543,Zfp276,zinc finger protein (C2H2 type) 276 [Source:MGI Symbol;Acc:MGI:1888495],protein_coding,8,123980934,123996484,ENSG00000158805,ZNF276
ENSMUSG00000001065,8:119648807-129039065,Zfp276,zinc finger protein (C2H2 type) 276 [Source:MGI Symbol;Acc:MGI:1888495],protein_coding,8,123980934,123996484,ENSG00000158805,ZNF276
ENSMUSG00000001065,8:121838387-125008212,Zfp276,zinc finger protein (C2H2 type) 276 [Source:MGI Symbol;Acc:MGI:1888495],protein_coding,8,123980934,123996484,ENSG00000158805,ZNF276
ENSMUSG00000001472,8:112691719-127272752,Tcf25,transcription factor 25 (basic helix-loop-helix) [Source:MGI Symbol;Acc:MGI:1914105],protein_coding,8,124100492,124130574,ENSG00000141002,TCF25
ENSMUSG00000001472,8:114537131-125008212,Tcf25,transcription factor 25 (basic helix-loop-helix) [Source:MGI Symbol;Acc:MGI:1914105],protein_coding,8,124100492,124130574,ENSG00000141002,TCF25
ENSMUSG00000001472,8:119627135-129911543,Tcf25,transcription factor 25 (basic helix-loop-helix) [Source:MGI Symbol;Acc:MGI:1914105],protein_coding,8,124100492,124130574,ENSG00000141002,TCF25
ENSMUSG00000001472,8:119648807-129039065,Tcf25,transcription factor 25 (basic helix-loop-helix) [Source:MGI Symbol;Acc:MGI:1914105],protein_coding,8,124100492,124130574,ENSG00000141002,TCF25
ENSMUSG00000001472,8:121838387-125008212,Tcf25,transcription factor 25 (basic helix-loop-helix) [Source:MGI Symbol;Acc:MGI:1914105],protein_coding,8,124100492,124130574,ENSG00000141002,TCF25
ENSMUSG00000001482,8:112691719-127272752,Def8,differentially expressed in FDCP 8 [Source:MGI Symbol;Acc:MGI:1346331],protein_coding,8,124150266,124190009,ENSG00000140995,DEF8
ENSMUSG00000001482,8:114537131-125008212,Def8,differentially expressed in FDCP 8 [Source:MGI Symbol;Acc:MGI:1346331],protein_coding,8,124150266,124190009,ENSG00000140995,DEF8
ENSMUSG00000001482,8:119627135-129911543,Def8,differentially expressed in FDCP 8 [Source:MGI Symbol;Acc:MGI:1346331],protein_coding,8,124150266,124190009,ENSG00000140995,DEF8
ENSMUSG00000001482,8:119648807-129039065,Def8,differentially expressed in FDCP 8 [Source:MGI Symbol;Acc:MGI:1346331],protein_coding,8,124150266,124190009,ENSG00000140995,DEF8
ENSMUSG00000001482,8:121838387-125008212,Def8,differentially expressed in FDCP 8 [Source:MGI Symbol;Acc:MGI:1346331],protein_coding,8,124150266,124190009,ENSG00000140995,DEF8
ENSMUSG00000001632,6:91585075-114006765,Brpf1,"bromodomain and PHD finger containing, 1 [Source:MGI Symbol;Acc:MGI:1926033]",protein_coding,6,113284098,113301821,ENSG00000156983,BRPF1
ENSMUSG00000001632,6:94125505-114040606,Brpf1,"bromodomain and PHD finger containing, 1 [Source:MGI Symbol;Acc:MGI:1926033]",protein_coding,6,113284098,113301821,ENSG00000156983,BRPF1
ENSMUSG00000001632,6:97887040-114006765,Brpf1,"bromodomain and PHD finger containing, 1 [Source:MGI Symbol;Acc:MGI:1926033]",protein_coding,6,113284098,113301821,ENSG00000156983,BRPF1
ENSMUSG00000001632,6:109696362-114012072,Brpf1,"bromodomain and PHD finger containing, 1 [Source:MGI Symbol;Acc:MGI:1926033]",protein_coding,6,113284098,113301821,ENSG00000156983,BRPF1
ENSMUSG00000001674,1:115213254-128264383,Ddx18,DEAD box helicase 18 [Source:MGI Symbol;Acc:MGI:1914192],protein_coding,1,121481564,121495718,ENSG00000088205,DDX18
ENSMUSG00000001674,1:115213602-128418981,Ddx18,DEAD box helicase 18 [Source:MGI Symbol;Acc:MGI:1914192],protein_coding,1,121481564,121495718,ENSG00000088205,DDX18
ENSMUSG00000001995,8:112691719-127272752,Sipa1l2,signal-induced proliferation-associated 1 like 2 [Source:MGI Symbol;Acc:MGI:2676970],protein_coding,8,126144802,126296547,ENSG00000116991,SIPA1L2
ENSMUSG00000001995,8:119627135-129911543,Sipa1l2,signal-induced proliferation-associated 1 like 2 [Source:MGI Symbol;Acc:MGI:2676970],protein_coding,8,126144802,126296547,ENSG00000116991,SIPA1L2
ENSMUSG00000001995,8:119648807-129039065,Sipa1l2,signal-induced proliferation-associated 1 like 2 [Source:MGI Symbol;Acc:MGI:2676970],protein_coding,8,126144802,126296547,ENSG00000116991,SIPA1L2
ENSMUSG00000001998,2:106343051-134274315,Ap4e1,"adaptor-related protein complex AP-4, epsilon 1 [Source:MGI Symbol;Acc:MGI:1336993]",protein_coding,2,126850637,126909829,ENSG00000081014,AP4E1
ENSMUSG00000001998,2:106343051-138061588,Ap4e1,"adaptor-related protein complex AP-4, epsilon 1 [Source:MGI Symbol;Acc:MGI:1336993]",protein_coding,2,126850637,126909829,ENSG00000081014,AP4E1
ENSMUSG00000001998,2:108607222-137784113,Ap4e1,"adaptor-related protein complex AP-4, epsilon 1 [Source:MGI Symbol;Acc:MGI:1336993]",protein_coding,2,126850637,126909829,ENSG00000081014,AP4E1
ENSMUSG00000001999,2:106343051-134274315,Blvra,biliverdin reductase A [Source:MGI Symbol;Acc:MGI:88170],protein_coding,2,126912585,126939004,ENSG00000106605,BLVRA
ENSMUSG00000001999,2:106343051-138061588,Blvra,biliverdin reductase A [Source:MGI Symbol;Acc:MGI:88170],protein_coding,2,126912585,126939004,ENSG00000106605,BLVRA
ENSMUSG00000001999,2:108607222-137784113,Blvra,biliverdin reductase A [Source:MGI Symbol;Acc:MGI:88170],protein_coding,2,126912585,126939004,ENSG00000106605,BLVRA
ENSMUSG00000002748,5:124251012-135511572,Baz1b,"bromodomain adjacent to zinc finger domain, 1B [Source:MGI Symbol;Acc:MGI:1353499]",protein_coding,5,135216118,135274983,ENSG00000009954,BAZ1B
ENSMUSG00000002748,5:124251012-135570882,Baz1b,"bromodomain adjacent to zinc finger domain, 1B [Source:MGI Symbol;Acc:MGI:1353499]",protein_coding,5,135216118,135274983,ENSG00000009954,BAZ1B
ENSMUSG00000002812,11:35809358-63627072,Flii,flightless I actin binding protein [Source:MGI Symbol;Acc:MGI:1342286],protein_coding,11,60604949,60618089,ENSG00000177731,FLII
ENSMUSG00000002814,11:35809358-63627072,Top3a,topoisomerase (DNA) III alpha [Source:MGI Symbol;Acc:MGI:1197527],protein_coding,11,60630884,60668191,ENSG00000177302,TOP3A
ENSMUSG00000003604,2:106343051-134274315,Aven,"apoptosis, caspase activation inhibitor [Source:MGI Symbol;Acc:MGI:1921518]",protein_coding,2,112323309,112464918,ENSG00000169857,AVEN
ENSMUSG00000003604,2:106343051-138061588,Aven,"apoptosis, caspase activation inhibitor [Source:MGI Symbol;Acc:MGI:1921518]",protein_coding,2,112323309,112464918,ENSG00000169857,AVEN
ENSMUSG00000003604,2:108607222-137784113,Aven,"apoptosis, caspase activation inhibitor [Source:MGI Symbol;Acc:MGI:1921518]",protein_coding,2,112323309,112464918,ENSG00000169857,AVEN
ENSMUSG00000003660,2:106343051-134274315,Snrnp200,small nuclear ribonucleoprotein 200 (U5) [Source:MGI Symbol;Acc:MGI:2444401],protein_coding,2,127050306,127082371,ENSG00000144028,SNRNP200
ENSMUSG00000003660,2:106343051-138061588,Snrnp200,small nuclear ribonucleoprotein 200 (U5) [Source:MGI Symbol;Acc:MGI:2444401],protein_coding,2,127050306,127082371,ENSG00000144028,SNRNP200
ENSMUSG00000003660,2:108607222-137784113,Snrnp200,small nuclear ribonucleoprotein 200 (U5) [Source:MGI Symbol;Acc:MGI:2444401],protein_coding,2,127050306,127082371,ENSG00000144028,SNRNP200
ENSMUSG00000003662,2:106343051-134274315,Ciao1,cytosolic iron-sulfur protein assembly 1 [Source:MGI Symbol;Acc:MGI:1346998],protein_coding,2,127082858,127089736,ENSG00000144021,CIAO1
ENSMUSG00000003662,2:106343051-138061588,Ciao1,cytosolic iron-sulfur protein assembly 1 [Source:MGI Symbol;Acc:MGI:1346998],protein_coding,2,127082858,127089736,ENSG00000144021,CIAO1
ENSMUSG00000003662,2:108607222-137784113,Ciao1,cytosolic iron-sulfur protein assembly 1 [Source:MGI Symbol;Acc:MGI:1346998],protein_coding,2,127082858,127089736,ENSG00000144021,CIAO1
ENSMUSG00000003721,1:115213254-128264383,Insig2,insulin induced gene 2 [Source:MGI Symbol;Acc:MGI:1920249],protein_coding,1,121232082,121260318,ENSG00000125629,INSIG2
ENSMUSG00000003721,1:115213602-128418981,Insig2,insulin induced gene 2 [Source:MGI Symbol;Acc:MGI:1920249],protein_coding,1,121232082,121260318,ENSG00000125629,INSIG2
ENSMUSG00000003955,16:27222692-38021943,Fam162a,"family with sequence similarity 162, member A [Source:MGI Symbol;Acc:MGI:1917436]",protein_coding,16,35864131,35891964,ENSG00000114023,FAM162A
ENSMUSG00000004127,3:126967070-149860268,Trmt10a,tRNA methyltransferase 10A [Source:MGI Symbol;Acc:MGI:1920421],protein_coding,3,137849209,137865582,ENSG00000145331,TRMT10A
ENSMUSG00000004127,3:127136685-149860268,Trmt10a,tRNA methyltransferase 10A [Source:MGI Symbol;Acc:MGI:1920421],protein_coding,3,137849209,137865582,ENSG00000145331,TRMT10A
ENSMUSG00000004127,3:132284330-149860268,Trmt10a,tRNA methyltransferase 10A [Source:MGI Symbol;Acc:MGI:1920421],protein_coding,3,137849209,137865582,ENSG00000145331,TRMT10A
ENSMUSG00000004127,3:135966956-148127038,Trmt10a,tRNA methyltransferase 10A [Source:MGI Symbol;Acc:MGI:1920421],protein_coding,3,137849209,137865582,ENSG00000145331,TRMT10A
ENSMUSG00000004296,11:35809358-63627072,Il12b,interleukin 12b [Source:MGI Symbol;Acc:MGI:96540],protein_coding,11,44290890,44304860,ENSG00000113302,IL12B
ENSMUSG00000004296,11:39435941-58117125,Il12b,interleukin 12b [Source:MGI Symbol;Acc:MGI:96540],protein_coding,11,44290890,44304860,ENSG00000113302,IL12B
ENSMUSG00000004451,1:115213254-128264383,Ralb,v-ral simian leukemia viral oncogene B [Source:MGI Symbol;Acc:MGI:1927244],protein_coding,1,119398035,119432524,ENSG00000144118,RALB
ENSMUSG00000004451,1:115213602-128418981,Ralb,v-ral simian leukemia viral oncogene B [Source:MGI Symbol;Acc:MGI:1927244],protein_coding,1,119398035,119432524,ENSG00000144118,RALB
ENSMUSG00000004591,3:126967070-149860268,Pkn2,protein kinase N2 [Source:MGI Symbol;Acc:MGI:109211],protein_coding,3,142496663,142587765,ENSG00000065243,PKN2
ENSMUSG00000004591,3:127136685-149860268,Pkn2,protein kinase N2 [Source:MGI Symbol;Acc:MGI:109211],protein_coding,3,142496663,142587765,ENSG00000065243,PKN2
ENSMUSG00000004591,3:132284330-149860268,Pkn2,protein kinase N2 [Source:MGI Symbol;Acc:MGI:109211],protein_coding,3,142496663,142587765,ENSG00000065243,PKN2
ENSMUSG00000004591,3:135966956-148127038,Pkn2,protein kinase N2 [Source:MGI Symbol;Acc:MGI:109211],protein_coding,3,142496663,142587765,ENSG00000065243,PKN2
ENSMUSG00000004637,8:112691719-127272752,Wwox,WW domain-containing oxidoreductase [Source:MGI Symbol;Acc:MGI:1931237],protein_coding,8,115166395,116079447,ENSG00000186153,WWOX
ENSMUSG00000004637,8:114537131-125008212,Wwox,WW domain-containing oxidoreductase [Source:MGI Symbol;Acc:MGI:1931237],protein_coding,8,115166395,116079447,ENSG00000186153,WWOX
ENSMUSG00000004637,8:114550090-119324387,Wwox,WW domain-containing oxidoreductase [Source:MGI Symbol;Acc:MGI:1931237],protein_coding,8,115166395,116079447,ENSG00000186153,WWOX
ENSMUSG00000004637,8:114987147-119324387,Wwox,WW domain-containing oxidoreductase [Source:MGI Symbol;Acc:MGI:1931237],protein_coding,8,115166395,116079447,ENSG00000186153,WWOX
ENSMUSG00000004798,11:35809358-63627072,Ulk2,unc-51 like kinase 2 [Source:MGI Symbol;Acc:MGI:1352758],protein_coding,11,61666475,61745899,ENSG00000083290,ULK2
ENSMUSG00000004837,11:35809358-63627072,Grap,GRB2-related adaptor protein [Source:MGI Symbol;Acc:MGI:1918770],protein_coding,11,61544091,61563610,ENSG00000154016,GRAP
ENSMUSG00000004988,6:115413776-118980203,Fxyd4,FXYD domain-containing ion transport regulator 4 [Source:MGI Symbol;Acc:MGI:1889005],protein_coding,6,117910520,117914653,ENSG00000150201,FXYD4
ENSMUSG00000005034,3:126967070-149860268,Prkacb,"protein kinase, cAMP dependent, catalytic, beta [Source:MGI Symbol;Acc:MGI:97594]",protein_coding,3,146435329,146518745,ENSG00000142875,PRKACB
ENSMUSG00000005034,3:127136685-149860268,Prkacb,"protein kinase, cAMP dependent, catalytic, beta [Source:MGI Symbol;Acc:MGI:97594]",protein_coding,3,146435329,146518745,ENSG00000142875,PRKACB
ENSMUSG00000005034,3:132284330-149860268,Prkacb,"protein kinase, cAMP dependent, catalytic, beta [Source:MGI Symbol;Acc:MGI:97594]",protein_coding,3,146435329,146518745,ENSG00000142875,PRKACB
ENSMUSG00000005034,3:135966956-148127038,Prkacb,"protein kinase, cAMP dependent, catalytic, beta [Source:MGI Symbol;Acc:MGI:97594]",protein_coding,3,146435329,146518745,ENSG00000142875,PRKACB
ENSMUSG00000005102,2:106343051-134274315,Eif2ak4,eukaryotic translation initiation factor 2 alpha kinase 4 [Source:MGI Symbol;Acc:MGI:1353427],protein_coding,2,118219099,118305715,ENSG00000128829,EIF2AK4
ENSMUSG00000005102,2:106343051-138061588,Eif2ak4,eukaryotic translation initiation factor 2 alpha kinase 4 [Source:MGI Symbol;Acc:MGI:1353427],protein_coding,2,118219099,118305715,ENSG00000128829,EIF2AK4
ENSMUSG00000005102,2:108607222-137784113,Eif2ak4,eukaryotic translation initiation factor 2 alpha kinase 4 [Source:MGI Symbol;Acc:MGI:1353427],protein_coding,2,118219099,118305715,ENSG00000128829,EIF2AK4
ENSMUSG00000005251,16:91282318-97872819,Ripk4,receptor-interacting serine-threonine kinase 4 [Source:MGI Symbol;Acc:MGI:1919638],protein_coding,16,97543133,97564987,ENSG00000183421,RIPK4
ENSMUSG00000005267,11:35809358-63627072,Zfp287,zinc finger protein 287 [Source:MGI Symbol;Acc:MGI:2176561],protein_coding,11,62591182,62622731,ENSG00000141040,ZNF287
ENSMUSG00000005362,6:91585075-114006765,Crbn,cereblon [Source:MGI Symbol;Acc:MGI:1913277],protein_coding,6,106757162,106777038,ENSG00000113851,CRBN
